idade,american_experience,at2000_suavizada_10_fem,at2000_suavizada_10_mas,at_2000_female,at_2000_male,at_49_female,at_49_male,at_83_female_iam,at_83_male_iam,br_emsmt_v_2010_f,br_emsmt_v_2010_m,br_emssb_v_2010_f,br_emssb_v_2010_m,csg_60,cso_41,cso_58,cso58_fem_age_last,cso58_fem_age_nearest,cso58_mas_age_last,cso58_mas_age_nearest,cso58_female,cso58_male,cso80,gam_71_female,gam_71_male,ibge_2006,ibge_2007,ibge_2008,ibge_2009,grupal_americana,hunters
0,0.1547,0.001615,0.0020800000000000003,0.001794,0.002311,0.00321,0.00404,0.001835,0.0026899999999999997,0.00128,0.00274,0.00037999999999999997,0.002,0.008320000000000001,0.022580000000000003,0.0070799999999999995,0.003942,0.0062,0.00443,0.0070799999999999995,0.00548,0.00633,0.00418,0.002219,0.0032549999999999996,0.024891,0.024036000000000002,0.023295,0.022466999999999997,0.462,0.0071
1,0.06348999999999999,0.0006799999999999999,0.0008150000000000001,0.000755,0.000906,0.0013599999999999999,0.00158,0.000778,0.001053,0.00045999999999999996,0.00095,0.00037999999999999997,0.0006900000000000001,0.00207,0.00577,0.00176,0.0015400000000000001,0.0016699999999999998,0.00164,0.00176,0.0009400000000000001,0.001,0.00107,0.0009400000000000001,0.001274,0.002292,0.002182,0.002291,0.002152,0.449,0.00687
2,0.0355,0.00035299999999999996,0.000454,0.000392,0.000504,0.0007030000000000001,0.0008869999999999998,0.00040199999999999996,0.000591,0.00025,0.00047999999999999996,0.0002,0.00035,0.00179,0.00414,0.0015199999999999999,0.0013800000000000002,0.00141,0.00149,0.0015199999999999999,0.00067,0.00075,0.00099,0.0004860000000000001,0.000715,0.001255,0.001198,0.001188,0.001132,0.436,0.00665
3,0.02391,0.000261,0.000367,0.00029,0.000408,0.000521,0.000715,0.000298,0.00047599999999999997,0.00016,0.0003,0.00013000000000000002,0.00022,0.00172,0.0033799999999999998,0.00146,0.00132,0.00135,0.00143,0.00146,0.0006,0.0006799999999999999,0.00098,0.00036,0.000576,0.0009220000000000001,0.00088,0.000778,0.00075,0.423,0.00644
4,0.0177,0.00020899999999999998,0.000321,0.00023199999999999997,0.000357,0.00041900000000000016,0.000627,0.00023999999999999998,0.000417,0.00011999999999999999,0.00022,0.0001,0.00016,0.00165,0.00299,0.0014,0.001265,0.0012900000000000001,0.001375,0.0014,0.00053,0.00061,0.00095,0.00029,0.000505,0.000699,0.000659,0.0005679999999999999,0.000552,0.41,0.00624
5,0.0136,0.000171,0.000291,0.00018899999999999999,0.000324,0.000339,0.000566,0.000194,0.000377,0.0001,0.00018,8e-05,0.00013000000000000002,0.00159,0.0027600000000000003,0.00135,0.001215,0.00124,0.001325,0.00135,0.00047000000000000004,0.00055,0.0009,0.000234,0.00045599999999999997,0.000479,0.000469,0.000442,0.00043200000000000004,0.397,0.00605
6,0.01137,0.00014099999999999998,0.00027,0.000156,0.000301,0.000278,0.000526,0.00016,0.00035,9e-05,0.00016,7e-05,0.00011999999999999999,0.0015300000000000001,0.0026100000000000003,0.0013,0.00117,0.00119,0.00128,0.0013,0.00041,0.00049,0.00086,0.000193,0.000424,0.00038500000000000003,0.00037200000000000004,0.00036,0.000354,0.384,0.00587
7,0.00975,0.000118,0.00025699999999999996,0.000131,0.000286,0.000234,0.0005,0.000134,0.000333,9e-05,0.00015,7e-05,0.00011,0.00148,0.00247,0.00126,0.001135,0.00115,0.001245,0.00126,0.00036,0.00044,0.0008,0.000162,0.00040300000000000004,0.000314,0.000301,0.000306,0.000302,0.371,0.0057
8,0.00863,0.000118,0.000294,0.000131,0.000328,0.000207,0.000487,0.000134,0.000352,9e-05,0.00015,8e-05,0.00011,0.00145,0.00231,0.00123,0.001115,0.00112,0.00122,0.00123,0.00032,0.0004,0.0007599999999999999,0.000143,0.000392,0.000281,0.000269,0.000271,0.000268,0.358,0.00554
9,0.0079,0.000121,0.000325,0.000134,0.000362,0.000193,0.000482,0.000136,0.000368,0.00011,0.00016,9e-05,0.00011999999999999999,0.0014199999999999998,0.00212,0.00121,0.0011099999999999999,0.0011099999999999999,0.00121,0.00121,0.0003,0.00037,0.00074,0.000134,0.000389,0.000273,0.000261,0.000251,0.000248,0.345,0.00539
10,0.007490000000000002,0.000126,0.00035,0.00014,0.00039,0.00019099999999999998,0.00048300000000000003,0.00014099999999999998,0.00038199999999999996,0.00014,0.00018,0.00011999999999999999,0.00013000000000000002,0.0014199999999999998,0.00197,0.00121,0.001115,0.0011099999999999999,0.00122,0.00121,0.00029,0.00036,0.00073,0.000132,0.00039,0.000275,0.000262,0.000248,0.000244,0.332,0.00525
11,0.0075200000000000015,0.000133,0.000371,0.000148,0.000413,0.00020800000000000001,0.000492,0.000147,0.000394,0.00018,0.00021,0.00015,0.00015,0.00145,0.0019100000000000002,0.00123,0.0011300000000000001,0.00112,0.001245,0.00123,0.00029,0.00037,0.0007700000000000001,0.000143,0.000397,0.000283,0.00027,0.000265,0.000256,0.319,0.00512
12,0.0075400000000000016,0.00014199999999999998,0.000388,0.00015800000000000002,0.00043099999999999996,0.000225,0.000502,0.000155,0.000405,0.00022,0.00026000000000000003,0.00018,0.00018999999999999998,0.00148,0.0019199999999999998,0.00126,0.001155,0.00114,0.0012900000000000001,0.00126,0.0003,0.00039,0.00085,0.000155,0.000405,0.000314,0.000307,0.000307,0.000292,0.306,0.005
13,0.00757,0.000152,0.00040199999999999996,0.00016999999999999999,0.000446,0.000242,0.000512,0.000165,0.00041500000000000017,0.00026000000000000003,0.00033,0.00022,0.00023999999999999998,0.00155,0.00198,0.00132,0.00119,0.00117,0.001355,0.00132,0.00032,0.00044,0.00099,0.000167,0.000413,0.00043,0.00041600000000000003,0.00038700000000000003,0.00035,0.293,0.00489
14,0.0076,0.000164,0.000414,0.000183,0.000458,0.00026000000000000003,0.000524,0.000175,0.000425,0.0003,0.00042,0.00025,0.00031,0.0016300000000000002,0.00207,0.00139,0.001235,0.00121,0.001425,0.00139,0.00035,0.0005,0.00115,0.00018,0.00042199999999999996,0.000557,0.000538,0.000524,0.000489,0.28,0.00479
15,0.00763,0.000177,0.000425,0.000197,0.00047000000000000004,0.000278,0.000537,0.000188,0.00043499999999999995,0.00033,0.00053,0.00027,0.00039,0.00172,0.00215,0.00146,0.0012900000000000001,0.00126,0.0015,0.00146,0.00039,0.00056,0.00133,0.000193,0.000433,0.000781,0.0007650000000000001,0.000743,0.000719,0.267,0.0047
16,0.007659999999999998,0.00018999999999999998,0.000437,0.000212,0.000481,0.000296,0.000551,0.00020099999999999998,0.000446,0.00035,0.00065,0.00029,0.00047999999999999996,0.0018100000000000002,0.0021899999999999997,0.0015400000000000001,0.001355,0.00132,0.00158,0.0015400000000000001,0.00044,0.00063,0.00151,0.000205,0.0004440000000000001,0.0009630000000000001,0.000936,0.000917,0.000891,0.254,0.00462
17,0.0076900000000000015,0.000204,0.000449,0.00022799999999999999,0.000495,0.000315,0.000567,0.00021400000000000002,0.000458,0.00037,0.00078,0.0003,0.00057,0.0019,0.00225,0.00162,0.001425,0.00139,0.001655,0.00162,0.0005,0.0007,0.0016699999999999998,0.000218,0.0004570000000000001,0.0011330000000000001,0.001102,0.00108,0.001051,0.24100000000000002,0.00455
18,0.00773,0.00021899999999999998,0.000463,0.000244,0.0005099999999999999,0.000334,0.000584,0.000229,0.000472,0.00037,0.0009,0.00031,0.00066,0.00199,0.0023,0.0016899999999999999,0.0015,0.00146,0.001715,0.0016899999999999999,0.00056,0.0007599999999999999,0.0017800000000000001,0.000231,0.000471,0.0012779999999999998,0.0012439999999999999,0.00122,0.001188,0.22899999999999998,0.00448
19,0.00777,0.000234,0.00047999999999999996,0.00026000000000000003,0.000528,0.000354,0.000603,0.000244,0.000488,0.00037,0.00101,0.0003,0.00074,0.00203,0.00237,0.0017399999999999998,0.00158,0.0015400000000000001,0.0017649999999999999,0.0017399999999999998,0.00063,0.0008,0.00186,0.000245,0.0004860000000000001,0.001403,0.0013650000000000001,0.001341,0.0013039999999999998,0.217,0.00441
20,0.0078,0.00025,0.000499,0.000277,0.000549,0.000376,0.000624,0.00026000000000000003,0.000505,0.00037,0.0011,0.0003,0.0008,0.00209,0.00243,0.00179,0.001655,0.00162,0.0018100000000000002,0.00179,0.0007,0.00084,0.0019,0.00026000000000000003,0.000503,0.0015300000000000001,0.001489,0.001465,0.001423,0.205,0.00435
21,0.007859999999999999,0.000265,0.000519,0.000294,0.000573,0.000398,0.000648,0.000276,0.000525,0.00036,0.00117,0.0003,0.00085,0.00214,0.00251,0.00183,0.001715,0.0016899999999999999,0.0018449999999999999,0.00183,0.0007599999999999999,0.0008699999999999999,0.0019100000000000002,0.000275,0.000522,0.001657,0.0016300000000000002,0.001588,0.001541,0.193,0.0043
22,0.007909999999999999,0.000281,0.000542,0.000312,0.000599,0.000421,0.000674,0.000293,0.000546,0.00036,0.00122,0.00029,0.0008900000000000002,0.00218,0.00259,0.00186,0.0017649999999999999,0.0017399999999999998,0.001875,0.00186,0.0008,0.0008900000000000002,0.0018899999999999998,0.000292,0.000544,0.001756,0.001727,0.0016820000000000001,0.0016309999999999999,0.182,0.00424
23,0.00796,0.000298,0.000566,0.00033,0.000627,0.000446,0.0007019999999999999,0.00031099999999999997,0.00057,0.00035,0.00125,0.00029,0.0009199999999999999,0.00221,0.00268,0.0018899999999999998,0.0018100000000000002,0.00179,0.0019,0.0018899999999999998,0.00084,0.00091,0.00186,0.000309,0.000566,0.0018170000000000005,0.001786,0.001738,0.001685,0.171,0.0042
24,0.00801,0.000314,0.000592,0.000349,0.000657,0.0004730000000000001,0.000733,0.00033,0.000596,0.00035,0.0012699999999999999,0.00029,0.00093,0.00224,0.00277,0.0019100000000000002,0.0018449999999999999,0.00183,0.0019199999999999998,0.0019100000000000002,0.0008699999999999999,0.0009199999999999999,0.00182,0.000327,0.000591,0.001852,0.001818,0.0017670000000000001,0.0017120000000000002,0.161,0.00415
